"SEQN","GENDER","AGE","EDUCATION","MARITAL","PREGNANT"
84462,"Female",35,"High School","Married","No"
84463,"Male",59,"College Grad","Single","No"
84464,"Male",69,"College Grad","Divorced","No"
84467,"Male",28,"College Grad","Married","No"
84469,"Female",62,"Some College","Married","No"
84470,"Male",23,"College Grad","Single","No"
84471,"Female",74,"High School","Married","No"
84473,"Female",22,"Some College","Single","No"
84475,"Male",25,"High School","Married","No"
84479,"Female",55,"Less than High School","Married","No"
84480,"Female",79,"Some College","Widowed","No"
84481,"Male",72,"Less than High School","Married","No"
84482,"Female",58,"Some College","Divorced","No"
84485,"Female",24,"High School","Living Partner","No"
84487,"Female",24,"Some College","Single","No"
84488,"Male",54,"High School","Single","No"
84490,"Female",28,"Some College","Living Partner","No"
84492,"Male",37,"Some College","Married","No"
84493,"Female",44,"High School","Separated","No"
84494,"Female",22,"High School","Single","No"
84495,"Female",53,"High School","Widowed","No"
84496,"Male",51,"Less than High School","Single","No"
84498,"Female",57,"High School","Married","No"
84499,"Male",56,"College Grad","Married","No"
84500,"Female",54,"College Grad","Married","No"
84502,"Male",56,"College Grad","Married","No"
84503,"Male",55,"Some College","Married","No"
84505,"Female",23,"High School","Living Partner","No"
84511,"Female",78,"College Grad","Widowed","No"
84513,"Female",65,"Some College","Widowed","No"
84514,"Male",41,"Less than High School","Married","No"
84517,"Female",80,"Some College","Widowed","No"
84525,"Male",44,"Less than High School","Living Partner","No"
84529,"Female",60,"Less than High School","Divorced","No"
84530,"Male",80,"Less than High School","Widowed","No"
84532,"Female",23,"Less than High School","Living Partner","No"
84534,"Female",62,"Less than High School","Married","No"
84535,"Female",21,"High School","Single","No"
84536,"Male",31,"Less than High School","Separated","No"
84537,"Male",34,"College Grad","Married","No"
84539,"Female",25,"High School","Single","No"
84542,"Female",31,"Some College","Married","No"
84543,"Male",56,"Less than High School","Married","No"
84545,"Male",47,"Some College","Divorced","No"
84546,"Female",61,"Some College","Married","No"
84547,"Female",37,"Some College","Living Partner","No"
84548,"Female",54,"Some College","Living Partner","No"
84550,"Male",29,"High School","Married","No"
84551,"Male",73,"Less than High School","Married","No"
84552,"Female",37,"High School","Single","No"
84555,"Female",56,"High School","Living Partner","No"
84556,"Male",68,"Less than High School","Married","No"
84558,"Male",27,"College Grad","Single","No"
84561,"Female",55,"College Grad","Married","No"
84562,"Female",60,"High School","Living Partner","No"
84564,"Male",74,"Less than High School","Married","No"
84565,"Female",25,"College Grad","Living Partner","No"
84566,"Female",71,"Less than High School","Widowed","No"
84567,"Male",65,"Some College","Married","No"
84568,"Male",72,"College Grad","Married","No"
84569,"Female",55,"College Grad","Married","No"
84575,"Male",61,"College Grad","Married","No"
84576,"Female",46,"Less than High School","Single","No"
84579,"Female",27,"College Grad","Married","No"
84581,"Female",32,"College Grad","Living Partner","No"
84582,"Male",66,"Some College","Married","No"
84583,"Female",56,"Less than High School","Married","No"
84584,"Female",62,"Some College","Divorced","No"
84585,"Male",23,"Some College","Single","No"
84586,"Male",23,"Less than High School","Single","No"
84587,"Female",22,"Some College","Single","No"
84588,"Male",35,"Some College","Married","No"
84592,"Male",58,"Less than High School","Divorced","No"
84593,"Male",40,"Some College","Separated","No"
84594,"Female",67,"High School","Married","No"
84595,"Male",80,"College Grad","Widowed","No"
84596,"Male",26,"Less than High School","Living Partner","No"
84597,"Female",63,"Less than High School","Married","No"
84600,"Male",30,"Less than High School","Married","No"
84602,"Female",63,"Some College","Married","No"
84606,"Male",63,"High School","Divorced","No"
84607,"Female",40,"Less than High School","Married","No"
84608,"Male",70,"College Grad","Divorced","No"
84609,"Male",62,"High School","Married","No"
84610,"Male",54,"Some College","Married","No"
84611,"Female",59,"High School","Separated","No"
84612,"Male",48,"High School","Married","No"
84614,"Male",80,"Some College","Married","No"
84615,"Male",54,"Less than High School","Married","No"
84617,"Female",42,"College Grad","Married","No"
84618,"Female",23,"Some College","Married","No"
84619,"Female",41,"Less than High School","Married","No"
84620,"Female",21,"Some College","Living Partner","No"
84622,"Male",80,"Less than High School","Married","No"
84623,"Male",53,"Some College","Married","No"
84625,"Female",40,"College Grad","Divorced","No"
84626,"Male",43,"Some College","Divorced","No"
84627,"Male",80,"Less than High School","Married","No"
84628,"Female",32,"Some College","Married","No"
84629,"Female",80,"Some College","Married","No"
84631,"Male",57,"High School","Single","No"
84632,"Female",39,"College Grad","Married","No"
84637,"Female",71,"College Grad","Widowed","No"
84639,"Female",30,"Less than High School","Single","No"
84640,"Female",80,"High School","Married","No"
84641,"Female",28,"Less than High School","Single","No"
84642,"Female",54,"High School","Divorced","No"
84644,"Female",80,"High School","Married","No"
84645,"Male",68,"College Grad","Divorced","No"
84646,"Female",50,"College Grad","Widowed","No"
84649,"Male",80,"College Grad","Widowed","No"
84650,"Female",30,"College Grad","Married","No"
84652,"Male",59,"College Grad","Single","No"
84657,"Male",35,"Some College","Living Partner","No"
84658,"Female",22,"Some College","Single","No"
84659,"Female",47,"College Grad","Divorced","No"
84660,"Male",40,"College Grad","Married","No"
84661,"Male",41,"High School","Married","No"
84662,"Female",63,"Some College","Divorced","No"
84665,"Female",73,"Some College","Divorced","No"
84668,"Female",56,"Less than High School","Single","No"
84671,"Female",25,"College Grad","Married","No"
84672,"Female",39,"High School","Single","No"
84673,"Male",29,"Some College","Single","No"
84675,"Male",33,"College Grad","Married","No"
84676,"Male",70,"Less than High School","Married","No"
84677,"Female",43,"College Grad","Divorced","No"
84679,"Female",68,"Less than High School","Widowed","No"
84680,"Male",60,"Some College","Married","No"
84683,"Female",73,"Less than High School","Widowed","No"
84685,"Female",27,"High School","Married","No"
84686,"Male",23,"High School","Single","No"
84689,"Female",47,"College Grad","Married","No"
84691,"Female",80,"Less than High School","Widowed","No"
84694,"Male",58,"College Grad","Married","No"
84695,"Male",80,"Less than High School","Separated","No"
84696,"Male",61,"High School","Married","No"
84698,"Female",22,"Less than High School","Living Partner","No"
84700,"Female",48,"High School","Married","No"
84702,"Male",47,"Some College","Married","No"
84703,"Male",75,"High School","Married","No"
84704,"Female",55,"Some College","Married","No"
84705,"Male",75,"Less than High School","Married","No"
84706,"Female",51,"Some College","Married","No"
84707,"Female",22,"College Grad","Single","No"
84710,"Female",71,"High School","Widowed","No"
84711,"Male",41,"College Grad","Married","No"
84712,"Male",34,"Less than High School","Single","No"
84715,"Male",60,"High School","Single","No"
84716,"Female",44,"Less than High School","Married","No"
84717,"Male",50,"Less than High School","Divorced","No"
84720,"Female",57,"Less than High School","Single","No"
84723,"Male",47,"College Grad","Married","No"
84726,"Male",33,"College Grad","Married","No"
84727,"Male",80,"Less than High School","Married","No"
84732,"Male",80,"Less than High School","Married","No"
84734,"Female",36,"High School","Living Partner","No"
84735,"Male",59,"Some College","Divorced","No"
84736,"Female",54,"Some College","Single","No"
84738,"Male",45,"High School","Married","No"
84741,"Female",63,"Some College","Divorced","No"
84742,"Female",80,"College Grad","Widowed","No"
84745,"Female",42,"Less than High School","Married","No"
84747,"Female",66,"Some College","Separated","No"
84748,"Male",22,"Some College","Living Partner","No"
84751,"Male",54,"Some College","Single","No"
84752,"Male",62,"High School","Married","No"
84753,"Male",33,"Less than High School","Married","No"
84754,"Male",70,"Less than High School","Married","No"
84755,"Female",65,"College Grad","Married","No"
84756,"Male",36,"College Grad","Married","No"
84757,"Male",56,"Some College","Married","No"
84759,"Female",34,"Some College","Living Partner","No"
84760,"Female",23,"High School","Married","Yes"
84763,"Female",56,"Less than High School","Married","No"
84764,"Male",41,"College Grad","Married","No"
84765,"Female",44,"Less than High School","Married","No"
84766,"Female",40,"Some College","Married","No"
84767,"Male",20,"Some College","Married","No"
84768,"Female",33,"High School","Single","No"
84770,"Male",52,"Some College","Divorced","No"
84771,"Male",31,"College Grad","Married","No"
84774,"Female",48,"High School","Divorced","No"
84775,"Male",28,"Some College","Single","No"
84776,"Male",47,"Some College","Married","No"
84777,"Male",43,"Less than High School","Married","No"
84778,"Female",20,"Some College","Single","No"
84780,"Female",29,"Some College","Living Partner","Yes"
84783,"Female",47,"Less than High School","Living Partner","No"
84784,"Male",42,"High School","Married","No"
84785,"Male",66,"Some College","Living Partner","No"
84786,"Female",50,"Some College","Married","No"
84787,"Female",78,"High School","Married","No"
84788,"Male",71,"Less than High School","Living Partner","No"
84790,"Male",41,"Less than High School","Married","No"
84791,"Male",20,"Some College","Single","No"
84793,"Male",28,"Some College","Living Partner","No"
84795,"Female",38,"College Grad","Married","No"
84796,"Female",51,"College Grad","Married","No"
84797,"Female",25,"Some College","Single","No"
84802,"Female",76,"Some College","Widowed","No"
84803,"Male",44,"Some College","Married","No"
84804,"Male",71,"High School","Married","No"
84805,"Female",53,"Less than High School","Married","No"
84808,"Male",45,"College Grad","Married","No"
84813,"Male",31,"High School","Living Partner","No"
84816,"Female",28,"Some College","Married","No"
84817,"Male",75,"College Grad","Widowed","No"
84818,"Female",33,"Some College","Married","No"
84820,"Male",44,"Some College","Married","No"
84825,"Female",41,"Some College","Married","No"
84826,"Female",45,"High School","Married","No"
84828,"Female",61,"College Grad","Married","No"
84829,"Male",24,"Some College","Married","No"
84830,"Male",25,"College Grad","Married","No"
84831,"Male",54,"Less than High School","Separated","No"
84832,"Male",58,"College Grad","Single","No"
84833,"Female",32,"Some College","Married","No"
84835,"Male",39,"Less than High School","Living Partner","No"
84837,"Female",45,"Less than High School","Married","No"
84838,"Male",23,"College Grad","Single","No"
84841,"Female",27,"High School","Single","No"
84842,"Male",50,"High School","Married","No"
84843,"Male",24,"College Grad","Single","No"
84846,"Male",24,"College Grad","Single","No"
84847,"Female",28,"High School","Married","No"
84849,"Male",36,"Some College","Single","No"
84850,"Female",53,"Less than High School","Married","No"
84852,"Female",28,"Some College","Married","No"
84854,"Female",51,"High School","Married","No"
84859,"Female",42,"College Grad","Divorced","No"
84862,"Female",56,"Some College","Married","No"
