location,date,vaccine,total_vaccinations
Argentina,2021-01-17,Pfizer/BioNTech,15
Argentina,2021-01-17,Sputnik V,233121
Argentina,2021-01-18,Pfizer/BioNTech,16
Argentina,2021-01-18,Sputnik V,242954
Argentina,2021-01-19,CanSino,1
Argentina,2021-01-19,Sinopharm/Beijing,24
Argentina,2021-01-19,Sputnik V,256208
Argentina,2021-01-20,Sputnik V,275642
Argentina,2021-01-21,Oxford/AstraZeneca,20
Argentina,2021-01-21,Sinopharm/Beijing,26
Argentina,2021-01-21,Sputnik V,289756
Argentina,2021-01-22,Oxford/AstraZeneca,23
Argentina,2021-01-22,Sinopharm/Beijing,27
Argentina,2021-01-22,Sputnik V,298976
Argentina,2021-01-23,Oxford/AstraZeneca,28
Argentina,2021-01-23,Sputnik V,302921
Argentina,2021-01-24,Oxford/AstraZeneca,29
Argentina,2021-01-24,Sputnik V,303224
Argentina,2021-01-25,Oxford/AstraZeneca,37
Argentina,2021-01-25,Sputnik V,317436
Argentina,2021-01-26,Oxford/AstraZeneca,75
Argentina,2021-01-26,Sinopharm/Beijing,28
Argentina,2021-01-26,Sputnik V,330214
Argentina,2021-01-27,Oxford/AstraZeneca,77
Argentina,2021-01-27,Sputnik V,340327
Argentina,2021-01-28,Oxford/AstraZeneca,78
Argentina,2021-01-28,Sputnik V,356376
Argentina,2021-01-29,Oxford/AstraZeneca,79
Argentina,2021-01-29,Sputnik V,379880
Argentina,2021-01-30,Sputnik V,389196
Argentina,2021-01-31,CanSino,2
Argentina,2021-01-31,Sinopharm/Beijing,29
Argentina,2021-01-31,Sputnik V,389819
Argentina,2021-02-01,Oxford/AstraZeneca,98
Argentina,2021-02-01,Sinopharm/Beijing,30
Argentina,2021-02-01,Sputnik V,409335
Argentina,2021-02-02,Oxford/AstraZeneca,131
Argentina,2021-02-02,Sputnik V,433186
Argentina,2021-02-03,Oxford/AstraZeneca,139
Argentina,2021-02-03,Sinopharm/Beijing,33
Argentina,2021-02-03,Sputnik V,459800
Argentina,2021-02-04,Moderna,2
Argentina,2021-02-04,Oxford/AstraZeneca,144
Argentina,2021-02-04,Sinopharm/Beijing,56
Argentina,2021-02-04,Sputnik V,487914
Argentina,2021-02-05,CanSino,4
Argentina,2021-02-05,Oxford/AstraZeneca,149
Argentina,2021-02-05,Sinopharm/Beijing,63
Argentina,2021-02-05,Sputnik V,520948
Argentina,2021-02-06,Sinopharm/Beijing,68
Argentina,2021-02-06,Sputnik V,531875
Argentina,2021-02-07,Oxford/AstraZeneca,150
Argentina,2021-02-07,Sinopharm/Beijing,72
Argentina,2021-02-07,Sputnik V,533255
Argentina,2021-02-08,Oxford/AstraZeneca,152
Argentina,2021-02-08,Sinopharm/Beijing,74
Argentina,2021-02-08,Sputnik V,556688
Argentina,2021-02-09,Moderna,3
Argentina,2021-02-09,Oxford/AstraZeneca,154
Argentina,2021-02-09,Sinopharm/Beijing,80
Argentina,2021-02-09,Sputnik V,576884
Argentina,2021-02-10,Oxford/AstraZeneca,157
Argentina,2021-02-10,Sinopharm/Beijing,85
Argentina,2021-02-10,Sputnik V,592505
Argentina,2021-02-11,Oxford/AstraZeneca,160
Argentina,2021-02-11,Sinopharm/Beijing,91
Argentina,2021-02-11,Sputnik V,610358
Argentina,2021-02-12,Oxford/AstraZeneca,161
Argentina,2021-02-12,Sinopharm/Beijing,92
Argentina,2021-02-12,Sputnik V,626200
Argentina,2021-02-13,Oxford/AstraZeneca,163
Argentina,2021-02-13,Sinopharm/Beijing,94
Argentina,2021-02-13,Sputnik V,629232
Argentina,2021-02-14,Sinopharm/Beijing,96
Argentina,2021-02-14,Sputnik V,629383
Argentina,2021-02-15,Pfizer/BioNTech,17
Argentina,2021-02-15,Sinopharm/Beijing,98
Argentina,2021-02-15,Sputnik V,630698
Argentina,2021-02-16,Oxford/AstraZeneca,175
Argentina,2021-02-16,Pfizer/BioNTech,18
Argentina,2021-02-16,Sinopharm/Beijing,100
Argentina,2021-02-16,Sputnik V,631996
Argentina,2021-02-17,Oxford/AstraZeneca,186
Argentina,2021-02-17,Sinopharm/Beijing,103
Argentina,2021-02-17,Sputnik V,656399
Argentina,2021-02-18,Oxford/AstraZeneca,217
Argentina,2021-02-18,Pfizer/BioNTech,19
Argentina,2021-02-18,Sinopharm/Beijing,107
Argentina,2021-02-18,Sputnik V,720212
Argentina,2021-02-19,Oxford/AstraZeneca,407
Argentina,2021-02-19,Sinopharm/Beijing,108
Argentina,2021-02-19,Sputnik V,787933
Argentina,2021-02-20,Oxford/AstraZeneca,555
Argentina,2021-02-20,Sinopharm/Beijing,109
Argentina,2021-02-20,Sputnik V,820409
Argentina,2021-02-21,Oxford/AstraZeneca,956
Argentina,2021-02-21,Sputnik V,840190
Argentina,2021-02-22,Oxford/AstraZeneca,23569
Argentina,2021-02-22,Sputnik V,885173
Argentina,2021-02-23,Oxford/AstraZeneca,73783
Argentina,2021-02-23,Sinopharm/Beijing,111
Argentina,2021-02-23,Sputnik V,921941
Argentina,2021-02-24,Oxford/AstraZeneca,135888
Argentina,2021-02-24,Sinopharm/Beijing,114
Argentina,2021-02-24,Sputnik V,953704
Argentina,2021-02-25,Oxford/AstraZeneca,189066
Argentina,2021-02-25,Sinopharm/Beijing,118
Argentina,2021-02-25,Sputnik V,980022
Argentina,2021-02-26,Oxford/AstraZeneca,245141
Argentina,2021-02-26,Sinopharm/Beijing,127
Argentina,2021-02-26,Sputnik V,1005664
Argentina,2021-02-27,Moderna,4
Argentina,2021-02-27,Oxford/AstraZeneca,258491
Argentina,2021-02-27,Sinopharm/Beijing,128
Argentina,2021-02-27,Sputnik V,1010224
Argentina,2021-02-28,Oxford/AstraZeneca,263842
Argentina,2021-02-28,Sinopharm/Beijing,129
Argentina,2021-02-28,Sputnik V,1011001
Argentina,2021-03-01,Oxford/AstraZeneca,317182
Argentina,2021-03-01,Sinopharm/Beijing,831
Argentina,2021-03-01,Sputnik V,1031548
Argentina,2021-03-02,Oxford/AstraZeneca,368832
Argentina,2021-03-02,Sinopharm/Beijing,5797
Argentina,2021-03-02,Sputnik V,1050580
Argentina,2021-03-03,Oxford/AstraZeneca,404831
Argentina,2021-03-03,Sinopharm/Beijing,23634
Argentina,2021-03-03,Sputnik V,1068274
Argentina,2021-03-04,Oxford/AstraZeneca,430562
Argentina,2021-03-04,Sinopharm/Beijing,87942
Argentina,2021-03-04,Sputnik V,1090340
Argentina,2021-03-05,Oxford/AstraZeneca,454862
Argentina,2021-03-05,Sinopharm/Beijing,154460
Argentina,2021-03-05,Sputnik V,1111289
Argentina,2021-03-06,Oxford/AstraZeneca,462781
Argentina,2021-03-06,Sinopharm/Beijing,196888
Argentina,2021-03-06,Sputnik V,1115893
Argentina,2021-03-07,Oxford/AstraZeneca,467757
Argentina,2021-03-07,Sinopharm/Beijing,203333
Argentina,2021-03-07,Sputnik V,1116270
Argentina,2021-03-08,Oxford/AstraZeneca,499342
Argentina,2021-03-08,Pfizer/BioNTech,20
Argentina,2021-03-08,Sinopharm/Beijing,256286
Argentina,2021-03-08,Sputnik V,1134256
Argentina,2021-03-09,Oxford/AstraZeneca,515689
Argentina,2021-03-09,Sinopharm/Beijing,319405
Argentina,2021-03-09,Sputnik V,1170622
Argentina,2021-03-10,Oxford/AstraZeneca,527779
Argentina,2021-03-10,Sinopharm/Beijing,418153
Argentina,2021-03-10,Sputnik V,1223800
Argentina,2021-03-11,Oxford/AstraZeneca,537726
Argentina,2021-03-11,Sinopharm/Beijing,503050
Argentina,2021-03-11,Sputnik V,1315876
Argentina,2021-03-12,Oxford/AstraZeneca,545250
Argentina,2021-03-12,Sinopharm/Beijing,564204
Argentina,2021-03-12,Sputnik V,1408901
Argentina,2021-03-13,Oxford/AstraZeneca,548229
Argentina,2021-03-13,Sinopharm/Beijing,574711
Argentina,2021-03-13,Sputnik V,1441817
Argentina,2021-03-14,Oxford/AstraZeneca,548278
Argentina,2021-03-14,Sinopharm/Beijing,581369
Argentina,2021-03-14,Sputnik V,1444284
Argentina,2021-03-15,Oxford/AstraZeneca,554702
Argentina,2021-03-15,Sinopharm/Beijing,621994
Argentina,2021-03-15,Sputnik V,1534889
Argentina,2021-03-16,Oxford/AstraZeneca,557822
Argentina,2021-03-16,Sinopharm/Beijing,656674
Argentina,2021-03-16,Sputnik V,1630850
Argentina,2021-03-17,Oxford/AstraZeneca,560535
Argentina,2021-03-17,Sinopharm/Beijing,679655
Argentina,2021-03-17,Sputnik V,1744779
Argentina,2021-03-18,Moderna,6
Argentina,2021-03-18,Oxford/AstraZeneca,562224
Argentina,2021-03-18,Sinopharm/Beijing,701809
Argentina,2021-03-18,Sputnik V,1859921
Argentina,2021-03-19,Oxford/AstraZeneca,564073
Argentina,2021-03-19,Pfizer/BioNTech,21
Argentina,2021-03-19,Sinopharm/Beijing,725418
Argentina,2021-03-19,Sputnik V,1960688
Argentina,2021-03-20,Oxford/AstraZeneca,564415
Argentina,2021-03-20,Sinopharm/Beijing,729358
Argentina,2021-03-20,Sputnik V,2007298
Argentina,2021-03-21,CanSino,5
Argentina,2021-03-21,Oxford/AstraZeneca,564438
Argentina,2021-03-21,Sinopharm/Beijing,729707
Argentina,2021-03-21,Sputnik V,2026561
Argentina,2021-03-22,Oxford/AstraZeneca,565910
Argentina,2021-03-22,Sinopharm/Beijing,747109
Argentina,2021-03-22,Sputnik V,2090768
Argentina,2021-03-23,Oxford/AstraZeneca,570601
Argentina,2021-03-23,Sinopharm/Beijing,760669
Argentina,2021-03-23,Sputnik V,2179027
Argentina,2021-03-24,Oxford/AstraZeneca,571879
Argentina,2021-03-24,Sinopharm/Beijing,763811
Argentina,2021-03-24,Sputnik V,2212076
Argentina,2021-03-25,Oxford/AstraZeneca,573235
Argentina,2021-03-25,Sinopharm/Beijing,774716
Argentina,2021-03-25,Sputnik V,2303034
Argentina,2021-03-26,Oxford/AstraZeneca,575891
Argentina,2021-03-26,Sinopharm/Beijing,783894
Argentina,2021-03-26,Sputnik V,2384794
Argentina,2021-03-27,Moderna,7
Argentina,2021-03-27,Oxford/AstraZeneca,576785
Argentina,2021-03-27,Sinopharm/Beijing,786202
Argentina,2021-03-27,Sputnik V,2436700
Argentina,2021-03-28,Oxford/AstraZeneca,577692
Argentina,2021-03-28,Pfizer/BioNTech,23
Argentina,2021-03-28,Sinopharm/Beijing,786677
Argentina,2021-03-28,Sputnik V,2456151
Argentina,2021-03-29,Oxford/AstraZeneca,581285
Argentina,2021-03-29,Pfizer/BioNTech,24
Argentina,2021-03-29,Sinopharm/Beijing,798184
Argentina,2021-03-29,Sputnik V,2561275
Argentina,2021-03-30,Oxford/AstraZeneca,584168
Argentina,2021-03-30,Pfizer/BioNTech,25
Argentina,2021-03-30,Sinopharm/Beijing,808684
Argentina,2021-03-30,Sputnik V,2710966
Argentina,2021-03-31,Oxford/AstraZeneca,604116
Argentina,2021-03-31,Sinopharm/Beijing,820699
Argentina,2021-03-31,Sputnik V,2854002
Argentina,2021-04-01,Oxford/AstraZeneca,629693
Argentina,2021-04-01,Sinopharm/Beijing,824462
Argentina,2021-04-01,Sputnik V,2941830
Argentina,2021-04-02,Oxford/AstraZeneca,642518
Argentina,2021-04-02,Sinopharm/Beijing,826784
Argentina,2021-04-02,Sputnik V,2994853
Argentina,2021-04-03,Oxford/AstraZeneca,661161
Argentina,2021-04-03,Sinopharm/Beijing,827875
Argentina,2021-04-03,Sputnik V,3049601
Argentina,2021-04-04,Moderna,8
Argentina,2021-04-04,Oxford/AstraZeneca,675558
Argentina,2021-04-04,Sinopharm/Beijing,829539
Argentina,2021-04-04,Sputnik V,3082037
Argentina,2021-04-05,Oxford/AstraZeneca,709399
Argentina,2021-04-05,Sinopharm/Beijing,858673
Argentina,2021-04-05,Sputnik V,3185101
Argentina,2021-04-06,Oxford/AstraZeneca,735867
Argentina,2021-04-06,Sinopharm/Beijing,933831
Argentina,2021-04-06,Sputnik V,3277524
Argentina,2021-04-07,Oxford/AstraZeneca,766109
Argentina,2021-04-07,Sinopharm/Beijing,1052158
Argentina,2021-04-07,Sputnik V,3367432
Argentina,2021-04-08,Oxford/AstraZeneca,790207
Argentina,2021-04-08,Pfizer/BioNTech,28
Argentina,2021-04-08,Sinopharm/Beijing,1182470
Argentina,2021-04-08,Sputnik V,3449026
Argentina,2021-04-09,Oxford/AstraZeneca,808564
Argentina,2021-04-09,Sinopharm/Beijing,1330065
Argentina,2021-04-09,Sputnik V,3523517
Argentina,2021-04-10,Oxford/AstraZeneca,813382
Argentina,2021-04-10,Sinopharm/Beijing,1384058
Argentina,2021-04-10,Sputnik V,3557664
Argentina,2021-04-11,Oxford/AstraZeneca,814249
Argentina,2021-04-11,Sinopharm/Beijing,1416914
Argentina,2021-04-11,Sputnik V,3572260
Argentina,2021-04-12,Oxford/AstraZeneca,824166
Argentina,2021-04-12,Sinopharm/Beijing,1512279
Argentina,2021-04-12,Sputnik V,3648828
Argentina,2021-04-13,Moderna,9
Argentina,2021-04-13,Oxford/AstraZeneca,832513
Argentina,2021-04-13,Sinopharm/Beijing,1594777
Argentina,2021-04-13,Sputnik V,3744098
Argentina,2021-04-14,Oxford/AstraZeneca,838958
Argentina,2021-04-14,Pfizer/BioNTech,29
Argentina,2021-04-14,Sinopharm/Beijing,1662164
Argentina,2021-04-14,Sputnik V,3841990
Argentina,2021-04-15,Oxford/AstraZeneca,843158
Argentina,2021-04-15,Sinopharm/Beijing,1713353
Argentina,2021-04-15,Sputnik V,3937740
Argentina,2021-04-16,Oxford/AstraZeneca,846443
Argentina,2021-04-16,Sinopharm/Beijing,1759468
Argentina,2021-04-16,Sputnik V,4012090
Argentina,2021-04-17,Oxford/AstraZeneca,847337
Argentina,2021-04-17,Sinopharm/Beijing,1775587
Argentina,2021-04-17,Sputnik V,4040807
Argentina,2021-04-18,Oxford/AstraZeneca,848612
Argentina,2021-04-18,Sinopharm/Beijing,1777850
Argentina,2021-04-18,Sputnik V,4057176
Argentina,2021-04-19,Oxford/AstraZeneca,864012
Argentina,2021-04-19,Pfizer/BioNTech,30
Argentina,2021-04-19,Sinopharm/Beijing,1802817
Argentina,2021-04-19,Sputnik V,4107319
Argentina,2021-04-20,Oxford/AstraZeneca,916554
Argentina,2021-04-20,Sinopharm/Beijing,1826860
Argentina,2021-04-20,Sputnik V,4153499
Argentina,2021-04-21,CanSino,6
Argentina,2021-04-21,Moderna,10
Argentina,2021-04-21,Oxford/AstraZeneca,1036850
Argentina,2021-04-21,Sinopharm/Beijing,1848084
Argentina,2021-04-21,Sputnik V,4185991
Argentina,2021-04-22,CanSino,7
Argentina,2021-04-22,Oxford/AstraZeneca,1154181
Argentina,2021-04-22,Sinopharm/Beijing,1863652
Argentina,2021-04-22,Sputnik V,4231335
Argentina,2021-04-23,Oxford/AstraZeneca,1272525
Argentina,2021-04-23,Sinopharm/Beijing,1877754
Argentina,2021-04-23,Sputnik V,4293495
Argentina,2021-04-24,Oxford/AstraZeneca,1326393
Argentina,2021-04-24,Sinopharm/Beijing,1879326
Argentina,2021-04-24,Sputnik V,4330314
Argentina,2021-04-25,Oxford/AstraZeneca,1358853
Argentina,2021-04-25,Sinopharm/Beijing,1879701
Argentina,2021-04-25,Sputnik V,4346802
Argentina,2021-04-26,Oxford/AstraZeneca,1431971
Argentina,2021-04-26,Pfizer/BioNTech,31
Argentina,2021-04-26,Sinopharm/Beijing,1887272
Argentina,2021-04-26,Sputnik V,4438277
Argentina,2021-04-27,Oxford/AstraZeneca,1491104
Argentina,2021-04-27,Pfizer/BioNTech,32
Argentina,2021-04-27,Sinopharm/Beijing,1894634
Argentina,2021-04-27,Sputnik V,4525564
Argentina,2021-04-28,Oxford/AstraZeneca,1543264
Argentina,2021-04-28,Pfizer/BioNTech,33
Argentina,2021-04-28,Sinopharm/Beijing,1922600
Argentina,2021-04-28,Sputnik V,4604497
Argentina,2021-04-29,Oxford/AstraZeneca,1582029
Argentina,2021-04-29,Sinopharm/Beijing,1962734
Argentina,2021-04-29,Sputnik V,4681948
Argentina,2021-04-30,Oxford/AstraZeneca,1612590
Argentina,2021-04-30,Sinopharm/Beijing,1998906
Argentina,2021-04-30,Sputnik V,4730210
Argentina,2021-05-01,Oxford/AstraZeneca,1617854
Argentina,2021-05-01,Sinopharm/Beijing,2002619
Argentina,2021-05-01,Sputnik V,4741546
Argentina,2021-05-02,Oxford/AstraZeneca,1624447
Argentina,2021-05-02,Sinopharm/Beijing,2016751
Argentina,2021-05-02,Sputnik V,4761002
Argentina,2021-05-03,Oxford/AstraZeneca,1648072
Argentina,2021-05-03,Pfizer/BioNTech,34
Argentina,2021-05-03,Sinopharm/Beijing,2090739
Argentina,2021-05-03,Sputnik V,4838160
Argentina,2021-05-04,Oxford/AstraZeneca,1671688
Argentina,2021-05-04,Sinopharm/Beijing,2184852
Argentina,2021-05-04,Sputnik V,4952535
Argentina,2021-05-05,Moderna,11
Argentina,2021-05-05,Oxford/AstraZeneca,1696614
Argentina,2021-05-05,Sinopharm/Beijing,2263457
Argentina,2021-05-05,Sputnik V,5094081
Argentina,2021-05-06,Oxford/AstraZeneca,1714455
Argentina,2021-05-06,Pfizer/BioNTech,35
Argentina,2021-05-06,Sinopharm/Beijing,2328104
Argentina,2021-05-06,Sputnik V,5214494
Argentina,2021-05-07,CanSino,8
Argentina,2021-05-07,Oxford/AstraZeneca,1728420
Argentina,2021-05-07,Sinopharm/Beijing,2424237
Argentina,2021-05-07,Sputnik V,5309830
Argentina,2021-05-08,Oxford/AstraZeneca,1732479
Argentina,2021-05-08,Sinopharm/Beijing,2465858
Argentina,2021-05-08,Sputnik V,5338442
Argentina,2021-05-09,Oxford/AstraZeneca,1734219
Argentina,2021-05-09,Sinopharm/Beijing,2469357
Argentina,2021-05-09,Sputnik V,5351901
Argentina,2021-05-10,Oxford/AstraZeneca,1744149
Argentina,2021-05-10,Sinopharm/Beijing,2533539
Argentina,2021-05-10,Sputnik V,5419519
Argentina,2021-05-11,Moderna,12
Argentina,2021-05-11,Oxford/AstraZeneca,1752428
Argentina,2021-05-11,Pfizer/BioNTech,36
Argentina,2021-05-11,Sinopharm/Beijing,2598396
Argentina,2021-05-11,Sputnik V,5486892
Argentina,2021-05-12,Moderna,13
Argentina,2021-05-12,Oxford/AstraZeneca,1758213
Argentina,2021-05-12,Sinopharm/Beijing,2737781
Argentina,2021-05-12,Sputnik V,5539402
Argentina,2021-05-13,Oxford/AstraZeneca,1763917
Argentina,2021-05-13,Sinopharm/Beijing,2886514
Argentina,2021-05-13,Sputnik V,5577164
Argentina,2021-05-14,Oxford/AstraZeneca,1773129
Argentina,2021-05-14,Sinopharm/Beijing,3034888
Argentina,2021-05-14,Sputnik V,5616160
Argentina,2021-05-15,Oxford/AstraZeneca,1776215
Argentina,2021-05-15,Sinopharm/Beijing,3085341
Argentina,2021-05-15,Sputnik V,5657740
Argentina,2021-05-16,Oxford/AstraZeneca,1777690
Argentina,2021-05-16,Sinopharm/Beijing,3128651
Argentina,2021-05-16,Sputnik V,5680563
Argentina,2021-05-17,Oxford/AstraZeneca,1785002
Argentina,2021-05-17,Pfizer/BioNTech,37
Argentina,2021-05-17,Sinopharm/Beijing,3224406
Argentina,2021-05-17,Sputnik V,5764496
Argentina,2021-05-18,Oxford/AstraZeneca,1794801
Argentina,2021-05-18,Sinopharm/Beijing,3269361
Argentina,2021-05-18,Sputnik V,5908051
Argentina,2021-05-19,Oxford/AstraZeneca,1802159
Argentina,2021-05-19,Pfizer/BioNTech,38
Argentina,2021-05-19,Sinopharm/Beijing,3302721
Argentina,2021-05-19,Sputnik V,6035123
Argentina,2021-05-20,Oxford/AstraZeneca,1812671
Argentina,2021-05-20,Sinopharm/Beijing,3338010
Argentina,2021-05-20,Sputnik V,6171986
Argentina,2021-05-21,Oxford/AstraZeneca,1821883
Argentina,2021-05-21,Sinopharm/Beijing,3416239
Argentina,2021-05-21,Sputnik V,6261871
Argentina,2021-05-22,Oxford/AstraZeneca,1823410
Argentina,2021-05-22,Sinopharm/Beijing,3460238
Argentina,2021-05-22,Sputnik V,6316814
Argentina,2021-05-23,Oxford/AstraZeneca,1823828
Argentina,2021-05-23,Sinopharm/Beijing,3483118
Argentina,2021-05-23,Sputnik V,6338794
Argentina,2021-05-24,Oxford/AstraZeneca,1825011
Argentina,2021-05-24,Pfizer/BioNTech,39
Argentina,2021-05-24,Sinopharm/Beijing,3502612
Argentina,2021-05-24,Sputnik V,6406514
Argentina,2021-05-25,Oxford/AstraZeneca,1847096
Argentina,2021-05-25,Sinopharm/Beijing,3505794
Argentina,2021-05-25,Sputnik V,6444687
Argentina,2021-05-26,Oxford/AstraZeneca,1873978
Argentina,2021-05-26,Sinopharm/Beijing,3539384
Argentina,2021-05-26,Sputnik V,6537383
Argentina,2021-05-27,Oxford/AstraZeneca,1919458
Argentina,2021-05-27,Sinopharm/Beijing,3572646
Argentina,2021-05-27,Sputnik V,6628122
Argentina,2021-05-28,Oxford/AstraZeneca,2011851
Argentina,2021-05-28,Sinopharm/Beijing,3601561
Argentina,2021-05-28,Sputnik V,6752992
Argentina,2021-05-29,Oxford/AstraZeneca,2121797
Argentina,2021-05-29,Pfizer/BioNTech,40
Argentina,2021-05-29,Sinopharm/Beijing,3611469
Argentina,2021-05-29,Sputnik V,6860677
Argentina,2021-05-30,Oxford/AstraZeneca,2180952
Argentina,2021-05-30,Sinopharm/Beijing,3613093
Argentina,2021-05-30,Sputnik V,6928797
Argentina,2021-05-31,Oxford/AstraZeneca,2308189
Argentina,2021-05-31,Sinopharm/Beijing,3630002
Argentina,2021-05-31,Sputnik V,7083773
Argentina,2021-06-01,Oxford/AstraZeneca,2457293
Argentina,2021-06-01,Sinopharm/Beijing,3643564
Argentina,2021-06-01,Sputnik V,7236106
Argentina,2021-06-02,CanSino,9
Argentina,2021-06-02,Oxford/AstraZeneca,2620882
Argentina,2021-06-02,Sinopharm/Beijing,3656714
Argentina,2021-06-02,Sputnik V,7368824
Argentina,2021-06-03,Oxford/AstraZeneca,2843840
Argentina,2021-06-03,Sinopharm/Beijing,3668939
Argentina,2021-06-03,Sputnik V,7483394
Argentina,2021-06-04,Oxford/AstraZeneca,3148989
Argentina,2021-06-04,Sinopharm/Beijing,3684805
Argentina,2021-06-04,Sputnik V,7570686
Argentina,2021-06-05,Oxford/AstraZeneca,3426780
Argentina,2021-06-05,Sinopharm/Beijing,3689488
Argentina,2021-06-05,Sputnik V,7615100
Argentina,2021-06-06,Oxford/AstraZeneca,3614714
Argentina,2021-06-06,Sinopharm/Beijing,3691524
Argentina,2021-06-06,Sputnik V,7642546
Argentina,2021-06-07,Oxford/AstraZeneca,3894247
Argentina,2021-06-07,Sinopharm/Beijing,3700897
Argentina,2021-06-07,Sputnik V,7706944
Argentina,2021-06-08,Oxford/AstraZeneca,4171756
Argentina,2021-06-08,Sinopharm/Beijing,3709017
Argentina,2021-06-08,Sputnik V,7791329
Argentina,2021-06-09,CanSino,11
Argentina,2021-06-09,Moderna,14
Argentina,2021-06-09,Oxford/AstraZeneca,4430847
Argentina,2021-06-09,Pfizer/BioNTech,41
Argentina,2021-06-09,Sinopharm/Beijing,3715817
Argentina,2021-06-09,Sputnik V,7897877
Argentina,2021-06-10,Moderna,15
Argentina,2021-06-10,Oxford/AstraZeneca,4654797
Argentina,2021-06-10,Pfizer/BioNTech,42
Argentina,2021-06-10,Sinopharm/Beijing,3721875
Argentina,2021-06-10,Sputnik V,8003023
Argentina,2021-06-11,Oxford/AstraZeneca,4839025
Argentina,2021-06-11,Sinopharm/Beijing,3732616
Argentina,2021-06-11,Sputnik V,8174936
Argentina,2021-06-12,Oxford/AstraZeneca,4905056
Argentina,2021-06-12,Sinopharm/Beijing,3744701
Argentina,2021-06-12,Sputnik V,8281989
Argentina,2021-06-13,Oxford/AstraZeneca,4949720
Argentina,2021-06-13,Sinopharm/Beijing,3746527
Argentina,2021-06-13,Sputnik V,8318201
Argentina,2021-06-14,Oxford/AstraZeneca,5076666
Argentina,2021-06-14,Sinopharm/Beijing,3757166
Argentina,2021-06-14,Sputnik V,8418740
Argentina,2021-06-15,Oxford/AstraZeneca,5206038
Argentina,2021-06-15,Pfizer/BioNTech,43
Argentina,2021-06-15,Sinopharm/Beijing,3762952
Argentina,2021-06-15,Sputnik V,8541505
Argentina,2021-06-16,Oxford/AstraZeneca,5391821
Argentina,2021-06-16,Sinopharm/Beijing,3767770
Argentina,2021-06-16,Sputnik V,8638124
Argentina,2021-06-17,Moderna,16
Argentina,2021-06-17,Oxford/AstraZeneca,5620996
Argentina,2021-06-17,Sinopharm/Beijing,3774100
Argentina,2021-06-17,Sputnik V,8717092
Argentina,2021-06-18,Moderna,17
Argentina,2021-06-18,Oxford/AstraZeneca,5945812
Argentina,2021-06-18,Pfizer/BioNTech,46
Argentina,2021-06-18,Sinopharm/Beijing,3780003
Argentina,2021-06-18,Sputnik V,8785785
Argentina,2021-06-19,Oxford/AstraZeneca,6132373
Argentina,2021-06-19,Sinopharm/Beijing,3782576
Argentina,2021-06-19,Sputnik V,8829293
Argentina,2021-06-20,Oxford/AstraZeneca,6210332
Argentina,2021-06-20,Sinopharm/Beijing,3782874
Argentina,2021-06-20,Sputnik V,8850261
Argentina,2021-06-21,Oxford/AstraZeneca,6348677
Argentina,2021-06-21,Pfizer/BioNTech,47
Argentina,2021-06-21,Sinopharm/Beijing,3784175
Argentina,2021-06-21,Sputnik V,8880373
